id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
b9956ab6-f55f-4011-be82-39cc7b278814,Pietra Viana,2006-06-26,804.790.549-39,52611-035,Macedo do Sul,PB,Brasil,M,(081) 0516 7477,80479054939@exemplo.com.br,2024-05-23
62eec499-20cd-4ead-b933-7884c84b929d,Heloísa das Neves,1983-10-30,489.344.672-49,67961-066,Mendonça,GO,Brasil,M,0300 422 1601,48934467249@exemplo.com.br,2024-07-04
9e3d578b-7ac2-4b10-b38f-72ef132f0c20,Samuel Monteiro,1973-08-13,799.222.467-85,01501706,das Neves das Pedras,PR,Brasil,F,11 4883 7974,79922246785@exemplo.com.br,2025-01-23
01ca4b69-9926-4cee-aded-27a3e53f5f74,Theodoro da Mata,1944-02-01,784.007.574-68,95769608,Cavalcanti,PB,Brasil,M,(061) 5950-0920,78400757468@exemplo.com.br,2025-04-22
dc398ac0-de98-4e44-96dd-2a37292efc77,Ravi Lucca Ribeiro,1966-11-27,203.551.162-37,30196528,Cavalcanti,ES,Brasil,M,51 6033 4710,20355116237@exemplo.com.br,2025-08-10
69eb6c8f-27cf-4f07-9e7b-fd3a3376e9c7,Julia Moura,1952-11-18,546.860.177-03,34719856,Rocha da Mata,PB,Brasil,M,31 7973 3851,54686017703@exemplo.com.br,2025-02-09
688ee326-1e80-4771-b0ff-e4688e5fa0da,Sr. Isaque Santos,1989-04-12,170.507.554-31,00739355,Gomes do Amparo,RN,Brasil,M,11 6505 9334,17050755431@exemplo.com.br,2024-11-04
ca5b592b-6148-4531-bb1e-f4687ab9f290,Vitória Oliveira,1941-04-21,281.510.406-32,07550-509,Carvalho de da Paz,RJ,Brasil,M,(041) 3724-8228,28151040632@exemplo.com.br,2025-08-21
f614bc44-0a18-4d61-a461-9d47a184feda,Amanda Andrade,1964-05-14,357.694.829-17,60941001,Porto,MS,Brasil,F,0500 548 3770,35769482917@exemplo.com.br,2024-03-12
d679cee7-4a42-4a38-80da-93a7a7ec5b00,Calebe Aparecida,1964-12-31,460.971.238-44,40041-488,Melo Paulista,CE,Brasil,M,61 1351 2321,46097123844@exemplo.com.br,2023-10-10
f91f994b-2b3c-4372-97f4-c85eb3dbd532,Sr. Luiz Henrique da Rosa,1994-05-28,919.965.391-93,96922395,Monteiro Grande,MA,Brasil,M,61 0364 7967,91996539193@exemplo.com.br,2024-10-20
f1a48fe2-bcc4-471e-9179-662401865e21,Isadora Cavalcante,1982-08-09,596.236.085-26,18673-084,Pastor das Flores,PR,Brasil,M,81 0396-6435,59623608526@exemplo.com.br,2023-12-26
01b48949-7b30-477b-82f8-5526abd629ed,Davi Miguel Peixoto,2005-10-14,856.539.022-80,08533-876,Pereira de Lopes,AC,Brasil,M,(081) 3758 3694,85653902280@exemplo.com.br,2023-11-22
